Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2017-02-21,Samsung calorie adjustment,Cardio,226.0,1,,,,,
2017-02-22,Samsung calorie adjustment,Cardio,374.0,1,,,,,
2017-02-23,Samsung calorie adjustment,Cardio,284.0,1,,,,,
2017-02-24,Samsung calorie adjustment,Cardio,388.0,1,,,,,
2017-02-25,Samsung calorie adjustment,Cardio,376.0,1,,,,,
2017-02-26,Samsung calorie adjustment,Cardio,533.0,1,,,,,
2017-02-27,Samsung calorie adjustment,Cardio,223.0,1,,,,,
2017-02-28,Samsung calorie adjustment,Cardio,394.0,1,,,,,
2017-03-01,Samsung calorie adjustment,Cardio,82.0,1,,,,,
2017-03-02,Samsung calorie adjustment,Cardio,393.0,1,,,,,
2017-03-03,Samsung calorie adjustment,Cardio,218.0,1,,,,,
2017-03-04,Samsung calorie adjustment,Cardio,200.0,1,,,,,
2017-03-05,Samsung calorie adjustment,Cardio,557.0,1,,,,,
2017-03-06,Samsung calorie adjustment,Cardio,238.0,1,,,,,
2017-03-07,Samsung calorie adjustment,Cardio,105.0,1,,,,,
2017-03-08,Samsung calorie adjustment,Cardio,365.0,1,,,,,
2017-03-09,Samsung calorie adjustment,Cardio,371.0,1,,,,,
2017-03-10,Samsung calorie adjustment,Cardio,246.0,1,,,,,
2017-03-11,Samsung calorie adjustment,Cardio,216.0,1,,,,,
2017-03-12,Samsung calorie adjustment,Cardio,537.0,1,,,,,
2017-03-13,Samsung calorie adjustment,Cardio,115.0,1,,,,,
2017-03-14,Samsung calorie adjustment,Cardio,274.0,1,,,,,
2017-03-15,Samsung calorie adjustment,Cardio,373.0,1,,,,,
2017-03-16,Samsung calorie adjustment,Cardio,197.0,1,,,,,
2017-03-17,Samsung calorie adjustment,Cardio,261.0,1,,,,,
2017-03-18,Samsung calorie adjustment,Cardio,218.0,1,,,,,
2017-03-19,Samsung calorie adjustment,Cardio,701.0,1,,,,,
2017-03-20,Samsung calorie adjustment,Cardio,126.0,1,,,,,
2017-03-21,Samsung calorie adjustment,Cardio,266.0,1,,,,,
2017-03-22,Samsung calorie adjustment,Cardio,460.0,1,,,,,
2017-03-23,Samsung calorie adjustment,Cardio,257.0,1,,,,,
2017-03-24,Samsung calorie adjustment,Cardio,356.0,1,,,,,
2017-03-25,Samsung calorie adjustment,Cardio,307.0,1,,,,,
2017-03-26,Samsung calorie adjustment,Cardio,180.0,1,,,,,
2017-03-27,Samsung calorie adjustment,Cardio,375.0,1,,,,,
2017-03-28,Samsung calorie adjustment,Cardio,281.0,1,,,,,
2017-03-29,Samsung calorie adjustment,Cardio,382.0,1,,,,,
2017-03-30,Samsung calorie adjustment,Cardio,228.0,1,,,,,
2017-03-31,Samsung calorie adjustment,Cardio,371.0,1,,,,,
2017-04-01,Samsung calorie adjustment,Cardio,217.0,1,,,,,
2017-04-02,Samsung calorie adjustment,Cardio,472.0,1,,,,,
2017-04-03,Samsung calorie adjustment,Cardio,219.0,1,,,,,
2017-04-04,Samsung calorie adjustment,Cardio,357.0,1,,,,,
2017-04-05,Samsung calorie adjustment,Cardio,226.0,1,,,,,
2017-04-06,Samsung calorie adjustment,Cardio,188.0,1,,,,,
2017-04-07,Samsung calorie adjustment,Cardio,333.0,1,,,,,
2017-04-08,Samsung calorie adjustment,Cardio,256.0,1,,,,,
2017-04-09,Samsung calorie adjustment,Cardio,477.0,1,,,,,
2017-04-10,Samsung calorie adjustment,Cardio,245.0,1,,,,,
2017-04-11,Samsung calorie adjustment,Cardio,341.0,1,,,,,
2017-04-12,Samsung calorie adjustment,Cardio,228.0,1,,,,,
2017-04-13,Samsung calorie adjustment,Cardio,338.0,1,,,,,
2017-04-14,Samsung calorie adjustment,Cardio,350.0,1,,,,,
2017-04-15,Samsung calorie adjustment,Cardio,454.0,1,,,,,
2017-04-16,Samsung calorie adjustment,Cardio,220.0,1,,,,,
2017-04-17,Samsung calorie adjustment,Cardio,351.0,1,,,,,
2017-04-18,Samsung calorie adjustment,Cardio,201.0,1,,,,,
2017-04-19,Samsung calorie adjustment,Cardio,384.0,1,,,,,
2017-04-20,Samsung calorie adjustment,Cardio,215.0,1,,,,,
2017-04-21,Samsung calorie adjustment,Cardio,343.0,1,,,,,
2017-04-22,Samsung calorie adjustment,Cardio,440.0,1,,,,,
2017-04-23,Samsung calorie adjustment,Cardio,220.0,1,,,,,
2017-04-24,Samsung calorie adjustment,Cardio,349.0,1,,,,,
2017-04-25,Samsung calorie adjustment,Cardio,197.0,1,,,,,
2017-04-26,Samsung calorie adjustment,Cardio,77.0,1,,,,,
2017-04-27,Samsung calorie adjustment,Cardio,272.0,1,,,,,
2017-04-28,Samsung calorie adjustment,Cardio,328.0,1,,,,,
2017-04-29,Samsung calorie adjustment,Cardio,273.0,1,,,,,
2017-04-30,Samsung calorie adjustment,Cardio,378.0,1,,,,,
2017-05-01,Samsung calorie adjustment,Cardio,294.0,1,,,,,
2017-05-02,Samsung calorie adjustment,Cardio,208.0,1,,,,,
2017-05-03,Samsung calorie adjustment,Cardio,100.0,1,,,,,
2017-05-04,Samsung calorie adjustment,Cardio,243.0,1,,,,,
2017-05-05,Samsung calorie adjustment,Cardio,150.0,1,,,,,
2017-05-06,Samsung calorie adjustment,Cardio,296.0,1,,,,,
2017-05-07,Samsung calorie adjustment,Cardio,270.0,1,,,,,
2017-05-08,Samsung calorie adjustment,Cardio,204.0,1,,,,,
2017-05-09,Samsung calorie adjustment,Cardio,177.0,1,,,,,
2017-05-10,Samsung calorie adjustment,Cardio,356.0,1,,,,,
2017-05-11,Samsung calorie adjustment,Cardio,255.0,1,,,,,
2017-05-12,Samsung calorie adjustment,Cardio,363.0,1,,,,,
2017-05-13,Samsung calorie adjustment,Cardio,319.0,1,,,,,
2017-05-14,Samsung calorie adjustment,Cardio,226.0,1,,,,,
2017-05-15,Samsung calorie adjustment,Cardio,120.0,1,,,,,
2017-05-16,Samsung calorie adjustment,Cardio,87.0,1,,,,,
2017-05-22,Samsung calorie adjustment,Cardio,374.0,1,,,,,
2017-05-23,Samsung calorie adjustment,Cardio,300.0,1,,,,,
